sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
ps	none	1	1	7.6e-006	0	1	22228	0.339571225300972	0.9256401204245	0.999998781673073
ps	none	1	1	7.6e-006	0	2	31567	0.342927264391286	0.924811456712278	0.999989202572724
ps	none	1	1	7.6e-006	0	3	42511	0.330501898488827	0.925092114160309	0.999985629506181
ps	none	1	1	7.6e-006	0	4	44344	0.327369155119914	0.925508586130775	0.999992097086452
ps	none	1	1	7.6e-006	0	6	55966	0.323745253564551	0.925919218560484	0.99998499770136
ps	none	1	1	7.6e-006	0	8	67022	0.322384949079263	0.924703132200506	0.999987133325656
ps	none	1	1	7.6e-006	0	10	76621	0.279134844776471	0.924259622401716	0.99997962964101
ps	periodic	1	1	7.6e-006	0	1	21054	0.177022550742455	0.897890437535916	0.999983897374627
ps	periodic	1	1	7.6e-006	0	2	30912	0.227182354709114	0.896723641390757	0.999815055007445
ps	periodic	1	1	7.6e-006	0	3	40239	0.235236316877047	0.896042297989935	0.999878079824458
ps	periodic	1	1	7.6e-006	0	4	52805	0.194692747316319	0.896542896241476	0.999882034539917
ps	periodic	1	1	7.6e-006	0	6	60964	0.229166656825799	0.893677061299545	0.999920408962908
ps	periodic	1	1	7.6e-006	0	8	71284	0.18719783031665	0.89172631560402	0.99988821864863
ps	periodic	1	1	7.6e-006	0	10	90000	0.200372590990092	0.891655482549275	0.999888489329309
ps	fixed	1	1	7.6e-006	0	1	11598	0.282867851858665	0.904995859434141	0.999739899000793
ps	fixed	1	1	7.6e-006	0	2	17325	0.301224357041724	0.90567141665374	0.999756185139396
ps	fixed	1	1	7.6e-006	0	3	25112	0.307752697950718	0.905893207290318	0.999928892106153
ps	fixed	1	1	7.6e-006	0	4	32163	0.308497106778009	0.905927692895245	0.999848730309451
ps	fixed	1	1	7.6e-006	0	6	39206	0.310448665344345	0.904341828251356	0.999803992952204
ps	fixed	1	1	7.6e-006	0	8	55465	0.314973987119752	0.903779627906291	0.99976965409431
ps	fixed	1	1	7.6e-006	0	10	60771	0.315679131460457	0.900775274237585	0.999694348240774
ps	moving	1	1	7.6e-006	0	1	11694	0.279477621812104	0.88273166094436	0.999106375932826
ps	moving	1	1	7.6e-006	0	2	19237	0.288678870398207	0.883619569642563	0.999134721651772
ps	moving	1	1	7.6e-006	0	3	24182	0.294269231450448	0.884802014166247	0.999655066435919
ps	moving	1	1	7.6e-006	0	4	31402	0.291877515512731	0.884852344309529	0.99993539134258
ps	moving	1	1	7.6e-006	0	6	43570	0.283878120180316	0.884478978173859	0.999742507806581
ps	moving	1	1	7.6e-006	0	8	52091	0.305051889228097	0.884039310534927	0.999629928262967
ps	moving	1	1	7.6e-006	0	10	63621	0.303018917565203	0.883278453925038	0.999796922943899
ds	none	1	1	7.6e-006	0	1	24448	0.325579135429743	0.926060956549205	0.999941179535089
ds	none	1	1	7.6e-006	0	2	31653	0.336113327363352	0.925635278857444	0.99998255348759
ds	none	1	1	7.6e-006	0	3	39408	0.326270600851194	0.925206533902172	0.99997485823565
ds	none	1	1	7.6e-006	0	4	43024	0.320862549178957	0.925117189299363	0.999951902347854
ds	none	1	1	7.6e-006	0	6	51794	0.318886891698057	0.925986536877997	0.999994556907663
ds	none	1	1	7.6e-006	0	8	59189	0.284294903645453	0.923088357818782	0.999984566787521
ds	none	1	1	7.6e-006	0	10	68455	0.22749035801942	0.921706729303416	0.999948167406517
ds	periodic	1	1	7.6e-006	0	1	24885	0.211780025673646	0.897190253610771	0.99983757771166
ds	periodic	1	1	7.6e-006	0	2	33643	0.226329942957934	0.897253444110888	0.999776032272571
ds	periodic	1	1	7.6e-006	0	3	41463	0.236739156482501	0.896479378348051	0.999838503938799
ds	periodic	1	1	7.6e-006	0	4	51181	0.238469127467955	0.895780814531447	0.999824257171147
ds	periodic	1	1	7.6e-006	0	6	68355	0.227633408851529	0.895234451948222	0.999837681959991
ds	periodic	1	1	7.6e-006	0	8	72594	0.179734062209962	0.891396652561545	0.999900589384252
ds	periodic	1	1	7.6e-006	0	10	88501	0.188127967054359	0.890093727067033	0.999642531896511
ds	fixed	1	1	7.6e-006	0	1	12494	0.28286785204723	0.904995859441691	0.999739899022772
ds	fixed	1	1	7.6e-006	0	2	17450	0.30122435639332	0.905671416659687	0.999756184846177
