sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
none	periodic	1	1	0.001	0	10	42733	-1.81707454243941	0.68252558524434	1.62812093805706
none	periodic	1	1	0.001	0	12	48990	-1.94142502096205	0.676999366982085	1.41779549323115
none	periodic	1	1	0.001	0	14	59442	-1.09798388151752	0.678037569054968	0.999941039993142
none	periodic	1	1	0.001	0	16	57228	-0.471440755564691	0.676955529844519	12.6995728689307
none	periodic	1	1	0.001	0	18	70667	-2.32310338525509	0.676412785650643	2.77444222323051
none	periodic	1	1	0.001	0	20	64782	-39.5382227052163	0.666883635420027	1.10761101721799
none	fixed	1	1	0.001	0	1	4932	-2.46981179725123	0.612480569603453	1.35710125703815
none	fixed	1	1	0.001	0	2	9291	0.0873492304255477	0.620030869078973	0.997607664217193
none	fixed	1	1	0.001	0	3	10720	0.110944445147186	0.623296210387446	0.997486428513623
none	fixed	1	1	0.001	0	4	12056	0.12187643759352	0.624386986480359	0.995790787253534
none	fixed	1	1	0.001	0	5	14456	0.128221049127133	0.62578237165853	0.996796140237858
none	fixed	1	1	0.001	0	6	12695	0.132303152590897	0.626654001577016	0.996628558241998
none	fixed	1	1	0.001	0	7	14140	0.135131874877905	0.627279816993394	0.996739901567332
none	fixed	1	1	0.001	0	8	14978	0.136742791297074	0.627860827270682	0.996871498391889
none	fixed	1	1	0.001	0	9	16514	0.140254624301718	0.627966783876163	0.997637317902938
none	fixed	1	1	0.001	0	10	16860	0.140491427236862	0.626382013857476	0.998884329651216
none	fixed	1	1	0.001	0	12	19623	0.143530761148514	0.626354553152408	0.998306770884762
none	fixed	1	1	0.001	0	14	20771	0.144857741821002	0.626467915720702	0.99924246205249
none	fixed	1	1	0.001	0	16	24161	0.132750557990769	0.626311516035977	0.999015774792247
none	fixed	1	1	0.001	0	18	25604	0.139701252167482	0.625559657678665	0.998929636799196
none	fixed	1	1	0.001	0	20	31169	0.121691169306178	0.62305370124849	0.994503190139993
ps	none	1	1	0.001	0	1	14001	0.0156563667990362	0.617169760749642	0.998774556768919
ps	none	1	1	0.001	0	2	18878	0.132269632492623	0.648018466921558	0.998558232843381
ps	none	1	1	0.001	0	3	22421	0.167875019215975	0.656113489242536	0.999128092462372
ps	none	1	1	0.001	0	4	23840	0.173919288220477	0.659218415227765	0.998857124005603
ps	none	1	1	0.001	0	5	27370	0.202429475254116	0.661512701269045	0.998676698833722
ps	none	1	1	0.001	0	6	25469	0.201078265262101	0.661485650900692	0.998247399936884
ps	none	1	1	0.001	0	7	28273	0.198999359901822	0.661394105586824	0.997909548828911
ps	none	1	1	0.001	0	8	28350	0.175391711187751	0.663765576171607	0.998710969998788
ps	none	1	1	0.001	0	9	36803	0.201027525412255	0.661633023624791	0.998926247772961
ps	none	1	1	0.001	0	10	40429	0.161728162999223	0.66232922879505	0.997762947216699
ps	none	1	1	0.001	0	12	41845	0.182343584024053	0.66402588573527	0.997550927712872
ps	none	1	1	0.001	0	14	46966	0.164513303408505	0.662529125782909	0.998361153960739
ps	none	1	1	0.001	0	16	51467	0.196347709214979	0.662054892514335	0.998216586153132
ps	none	1	1	0.001	0	18	58713	0.20445454983465	0.664524107057665	0.998404486890292
ps	none	1	1	0.001	0	20	63491	0.193796919746512	0.66367635300884	0.998600570502739
ps	periodic	1	1	0.001	0	1	6373	-0.381198005251892	nan	1.63448429739423
ps	periodic	1	1	0.001	0	2	18452	0.144704886335343	0.648436523086079	0.998381178924942
ps	periodic	1	1	0.001	0	3	17207	0.179100779759074	0.65285131010674	0.999332422765962
ps	periodic	1	1	0.001	0	4	18358	0.189273490665137	0.652452383062349	0.999308477016343
ps	periodic	1	1	0.001	0	5	21252	0.196472480111695	0.652358338863606	0.998463739701615
ps	periodic	1	1	0.001	0	6	29837	0.207255394922079	0.655196936984008	0.999259588876049
ps	periodic	1	1	0.001	0	7	27351	0.207761645857523	0.653527735472302	0.998392602852307
ps	periodic	1	1	0.001	0	8	28696	0.211225044045334	0.65447971758449	0.997886577278841
ps	periodic	1	1	0.001	0	9	40549	0.210621325375119	0.655638326058965	0.999214422785333
ps	periodic	1	1	0.001	0	10	33433	0.216188769741173	0.654890410479521	0.998507845688553
