step	level	max error	mean error	time
0	4	0.000150504	2.64384e-005	4.49982
0	4	0.000134237	2.40077e-005	4.57296
0	4	0.00012736	2.38827e-005	4.65195
0	4	0.000311298	2.7537e-005	4.73549
0	4	0.000169007	2.61212e-005	4.82512
0	4	0.000238448	3.15552e-005	4.92059
0	4	0.00018209	2.36176e-005	5.01984
0	4	0.000219381	2.30875e-005	5.12474
0	4	0.00016469	2.19712e-005	5.23922
0	4	0.000125079	2.05315e-005	5.35702
0	4	0.000121626	1.87541e-005	5.47893
0	4	0.000151224	2.04811e-005	5.60912
0	4	0.000131733	2.01018e-005	5.74572
0	4	0.000110231	1.62451e-005	5.89147
0	4	0.000102556	1.38276e-005	6.03746
0	4	8.66915e-005	1.24424e-005	6.19081
0	4	9.63843e-005	1.20904e-005	6.34442
0	4	6.20168e-005	1.0624e-005	6.50778
0	4	6.03152e-005	1.02262e-005	6.68196
0	4	4.7901e-005	9.7894e-006	6.85666
0	4	5.83263e-005	9.71488e-006	7.03986
0	4	4.7913e-005	8.20165e-006	7.22817
0	4	4.7913e-005	8.20165e-006	7.23013
0	5	0.000119207	3.6595e-005	7.23968
0	5	0.000161424	2.90791e-005	7.2564
0	5	0.000214879	4.13223e-005	7.27801
0	5	8.77743e-005	2.18286e-005	7.30506
0	5	0.000104728	2.40067e-005	7.33819
0	5	0.000137855	2.38144e-005	7.37734
0	5	7.94482e-005	1.83746e-005	7.42075
0	5	9.81591e-005	1.61085e-005	7.47013
0	5	7.68988e-005	1.52285e-005	7.52417
0	5	6.53837e-005	1.42177e-005	7.58493
0	5	6.26524e-005	1.28721e-005	7.65415
0	5	7.85608e-005	1.18987e-005	7.72581
0	5	5.10484e-005	1.07386e-005	7.80425
0	5	7.14451e-005	1.07566e-005	7.89186
0	5	7.38128e-005	1.07592e-005	7.98111
0	5	6.85935e-005	1.05896e-005	8.07565
0	5	0.000103296	1.26855e-005	8.17563
0	5	5.89507e-005	9.4573e-006	8.28425
0	5	7.89407e-005	9.26818e-006	8.39762
0	5	5.92049e-005	8.99941e-006	8.51764
0	5	5.29072e-005	8.02305e-006	8.64655
0	5	4.33051e-005	7.24867e-006	8.77917
0	5	3.78845e-005	6.16831e-006	8.91569
0	5	6.3581e-005	6.23551e-006	9.05739
0	5	4.22169e-005	6.27473e-006	9.20675
0	5	3.70842e-005	5.88019e-006	9.35882
0	5	3.56814e-005	5.80382e-006	9.52027
0	5	2.9814e-005	5.34058e-006	9.68318
0	5	2.80466e-005	5.03407e-006	9.86471
0	5	2.74547e-005	4.84938e-006	10.0672
0	5	2.83323e-005	4.80283e-006	10.2641
0	5	2.56036e-005	4.73207e-006	10.4766
0	5	2.56036e-005	4.73207e-006	10.4786
0	6	5.79502e-005	1.58465e-005	10.4889
0	6	7.47545e-005	1.503e-005	10.5069
0	6	0.000581097	0.000151232	10.5286
0	6	0.000282966	5.91326e-005	10.5591
0	6	0.000150133	2.63334e-005	10.5979
0	6	0.000341384	4.18084e-005	10.6376
0	6	9.05864e-005	1.41274e-005	10.6876
0	6	6.46183e-005	1.32495e-005	10.7387
0	6	5.0502e-005	1.02123e-005	10.7928
0	6	5.66156e-005	1.07381e-005	10.8545
0	6	4.311e-005	9.86713e-006	10.9209
0	6	5.35784e-005	1.00411e-005	10.9937
0	6	5.85108e-005	8.78716e-006	11.0708
0	6	3.91844e-005	6.87879e-006	11.1547
0	6	3.68198e-005	6.80653e-006	11.2467
0	6	6.66215e-005	8.11002e-006	11.3433
0	6	3.41638e-005	5.95413e-006	11.4422
0	6	4.07951e-005	5.93464e-006	11.551
0	6	4.33042e-005	5.65403e-006	11.6675
0	6	3.36656e-005	4.78836e-006	11.7906
0	6	3.98498e-005	5.48188e-006	11.9183
0	6	3.58682e-005	4.79649e-006	12.0475
0	6	2.60969e-005	4.59697e-006	12.1797
0	6	3.54187e-005	4.83747e-006	12.3205
0	6	2.37921e-005	4.16244e-006	12.4673
0	6	2.95863e-005	4.10314e-006	12.6208
0	6	2.2511e-005	4.06492e-006	12.7849
0	6	2.83206e-005	4.05645e-006	12.9523
0	6	2.98602e-005	3.90926e-006	13.1209
0	6	2.57905e-005	3.51765e-006	13.2998
0	6	2.02942e-005	3.20872e-006	13.4842
0	6	1.89198e-005	3.04607e-006	13.6753
0	6	1.89198e-005	3.04607e-006	13.6763
0	7	3.67058e-005	1.04722e-005	13.6873
0	7	0.000100162	2.42061e-005	13.7036
0	7	4.19555e-005	9.07874e-006	13.7254
0	7	4.03759e-005	1.01512e-005	13.7557
0	7	5.47005e-005	1.14053e-005	13.7927
0	7	3.37697e-005	8.24464e-006	13.8375
0	7	4.32078e-005	6.85299e-006	13.8851
0	7	3.36015e-005	6.69402e-006	13.9535
0	7	3.40779e-005	6.72957e-006	14.0197
0	7	2.6474e-005	5.67606e-006	14.0907
0	7	2.80745e-005	6.17303e-006	14.1628
0	7	2.87322e-005	5.44298e-006	14.2393
0	7	3.10262e-005	5.55118e-006	14.3265
0	7	2.65644e-005	4.71997e-006	14.4221
0	7	2.4736e-005	4.68875e-006	14.5208
0	7	2.37635e-005	4.66623e-006	14.6119
0	7	2.74248e-005	4.45915e-006	14.715
0	7	2.80503e-005	4.5563e-006	14.8249
0	7	3.87308e-005	4.35099e-006	14.9407
0	7	2.15703e-005	4.37229e-006	15.0591
0	7	3.23209e-005	4.52903e-006	15.1822
0	7	1.8581e-005	3.92253e-006	15.315
0	7	1.71419e-005	3.46575e-006	15.4519
0	7	2.12328e-005	3.25339e-006	15.5938
0	7	1.61347e-005	3.14032e-006	15.7382
0	7	6.36499e-005	3.48602e-006	15.8923
0	7	2.22398e-005	3.15427e-006	16.0542
0	7	1.94458e-005	3.33817e-006	16.2167
0	7	1.59501e-005	2.89896e-006	16.388
0	7	1.41903e-005	2.80485e-006	16.565
0	7	1.39927e-005	2.73118e-006	16.7476
0	7	1.62959e-005	2.63939e-006	16.9389
0	7	1.62959e-005	2.63939e-006	16.9409
0	8	7.34378e-005	2.05637e-005	16.9507
0	8	0.00011287	2.06001e-005	16.9677
0	8	4.1524e-005	9.62875e-006	16.9899
0	8	4.25149e-005	9.7447e-006	17.017
0	8	3.49785e-005	7.17271e-006	17.0491
0	8	2.86706e-005	6.02618e-006	17.0879
0	8	3.36734e-005	7.44431e-006	17.1312
0	8	4.71481e-005	6.48014e-006	17.1813
0	8	2.53176e-005	5.07928e-006	17.2356
0	8	2.17975e-005	4.33518e-006	17.2974
0	8	2.08991e-005	4.19575e-006	17.3639
0	8	2.18634e-005	4.35144e-006	17.4359
0	8	2.54138e-005	3.99115e-006	17.5156
0	8	2.00945e-005	3.55412e-006	17.5992
0	8	2.30455e-005	3.51997e-006	17.6889
0	8	2.60977e-005	3.502e-006	17.7858
0	8	1.86443e-005	3.51077e-006	17.8852
0	8	1.85523e-005	3.3036e-006	17.9928
0	8	2.36897e-005	3.22038e-006	18.1055
0	8	2.33849e-005	3.28547e-006	18.2229
